name,Type,porb_mu,porb_sigma_plus,porb_sigma_minus,type_p,kcp_mu,kcp_sigma_plus,kcp_sigma_minus,type_k,e_mu,e_sigma,type_e,i_mu,i_sigma_plus,i_sigma_minus,type_i,q_mu,q_sigma_plus,q_sigma_minus,type_q,mbh_mu,mbh_sigma_plus,mbh_sigma_minus,type_m,m_new_mu,m_new_sigma_plus,m_new_sigma_minus,type_mnew
GRS 1915+105,0,33.5,1.5,1.5,an,140,15,15,an,0,0,n,70,2,2,an,0.08,0.04,0.02,an,14.0,4.0,4.0,an,0,0,0,0
GRS 1124-684,0,0.43260249,0.00000009,0.00000009,an,406.8,2.7,2.7,an,0,0,n,43.2,2.1,2.7,an,0.079,0.007,0.007,an,11.0,2.1,1.4,an,0,0,0,0
XTE J1118+480,0,0.1699337,0.0000002,0.0000002,an,710,2.6,2.6,an,0,0,n,73.5,5.5,5.5,an,0.024,0.009,0.009,an,7.46,0.34,0.69,an,0,0,0,0
3A 0620-003,0,0.32301415,0.00000007,0.00000007,an,435.4,0.5,0.5,an,0,0,n,51,0.9,0.9,an,0.060,0.004,0.004,an,6.61,0.23,0.17,an,0,0,0,0
MAXI J1305-704,0,0.394,0.004,0.004,an,554,8,8,an,0,0,n,72,5,8,an,0.050,0.007,0.013,an,8.9,1.6,1,an,0,0,0,0
GS 2023+338,0,6.4714,0.0001,0.0001,an,208.5,0.7,0.7,an,0,0,n,67,3,1,an,0.060,0.004,0.005,an,9.0,0.2,0.6,an,0,0,0,0
GRO J1655-40,0,2.621928,0.000004,0.00002,an,226.2,1.4,1.4,an,0,0,n,65,0.8,0.8,an,3.8,0.3,0.3,an,6.86,0.52,0.49,an,0,0,0,0
XTE J1859+226,0,0.2760,0.003,0.003,an,562.0,40.0,40.0,an,0,0,n,66.6,4.3,4.3,an,0.07,0.01,0.01,an,7.8,1.9,1.9,an,0,0,0,0
XTE J1550-564,0,1.5420333,0.0000024,0.0000024,an,363.14,5.97,5.97,an,0,0,n,74.7,3.8,3.8,an,0.033,0.003,0.003,an,9.1,0.61,0.61,an,0,0,0,0
SAX J1819.3-2525,0,2.8173,0.00001,0.00001,an,211,3.1,3.1,an,0,0,n,72.3,4.1,4.1,an,0.447,0.048,0.034,an,6.4,0.6,0.6,an,0,0,0,0
