name,Type,porb_mu,porb_sigma_plus,porb_sigma_minus,type_p,kcp_mu,kcp_sigma_plus,kcp_sigma_minus,type_k,e_mu,e_sigma,type_e,i_mu,i_sigma_plus,i_sigma_minus,type_i,q_mu,q_sigma_plus,q_sigma_minus,type_q,mbh_mu,mbh_sigma_plus,mbh_sigma_minus,type_m,m_new_mu,m_new_sigma_plus,m_new_sigma_minus,type_mnew,ref_1,ref_2,ref_3
GRS 1915+105,LMXB,33.5,1.5,1.5,n,140.0,15.0,15.0,n,0.0,0.0,n,70.0,2.0,2.0,n,0.08,0.04,0.02,an,14.0,4.0,4.0,n,13.43,5.72,3.56,an,https://www.nature.com/articles/35107019,,
GRS 1124-684,LMXB,0.43260249,9e-08,9e-08,n,406.8,2.7,2.7,n,0.0,0.0,n,43.2,2.1,2.7,an,0.079,0.007,0.007,n,11.0,2.1,1.4,an,10.92,2.14,1.0,an,https://iopscience.iop.org/article/10.1088/0004-637X/806/1/92,https://iopscience.iop.org/article/10.3847/0004-637X/825/1/46,
XTE J1118+480,LMXB,0.1699337,2e-07,2e-07,n,710.0,2.6,2.6,n,0.0,0.0,n,73.5,5.5,5.5,n,0.024,0.009,0.009,n,7.46,0.34,0.69,an,7.34,0.99,0.33,an,https://academic.oup.com/mnrasl/article/438/1/L21/1007008,,
3A 0620-003,LMXB,0.32301415,7e-08,7e-08,n,435.4,0.5,0.5,n,0.0,0.0,n,51.0,0.9,0.9,n,0.06,0.004,0.004,n,6.61,0.23,0.17,an,6.63,0.26,0.26,n,https://academic.oup.com/mnrasl/article/438/1/L21/1007008,,
MAXI J1305-704,LMXB,0.394,0.004,0.004,n,554.0,8.0,8.0,n,0.0,0.0,n,72.0,5.0,8.0,an,0.05,0.007,0.013,an,8.9,1.6,1.0,an,8.9,1.92,0.59,an,https://www.mdpi.com/2075-4434/11/1/19,https://academic.oup.com/mnras/article/506/1/581/6307038,
GS 2023+338,LMXB,6.4714,0.0001,0.0001,n,208.5,0.7,0.7,n,0.0,0.0,n,67.0,3.0,1.0,an,0.06,0.004,0.005,an,9.0,0.2,0.6,an,8.56,0.29,0.48,an,https://academic.oup.com/mnras/article/271/1/L5/1181150?login=true,https://iopscience.iop.org/article/10.1088/0004-637X/716/2/1105,
GRO J1655-40,LMXB,2.621928,4e-06,2e-05,an,226.2,1.4,1.4,n,0.0,0.0,n,65.0,0.8,0.8,n,3.8,0.3,0.3,n,6.86,0.52,0.49,an,6.84,0.57,0.49,an,https://iopscience.iop.org/article/10.3847/1538-4357/acf837,https://www.mdpi.com/2075-4434/11/1/19,
XTE J1859+226,LMXB,0.276,0.003,0.003,n,562.0,40.0,40.0,n,0.0,0.0,n,66.6,4.3,4.3,n,0.07,0.01,0.01,n,7.8,1.9,1.9,n,8.52,6.2,2.48,an,https://academic.oup.com/mnras/article/517/1/1476/6748217,,
XTE J1550-564,LMXB,1.5420333,2.4e-06,2.4e-06,n,363.14,5.97,5.97,n,0.0,0.0,n,74.7,3.8,3.8,n,0.033,0.003,0.003,n,9.1,0.61,0.61,n,9.06,0.81,0.54,an,https://www.mdpi.com/2075-4434/11/1/19,https://iopscience.iop.org/article/10.1088/0004-637X/730/2/75,
SAX J1819.3-2525,LMXB,2.8173,1e-05,1e-05,n,211.0,3.1,3.1,n,0.0,0.0,n,72.3,4.1,4.1,n,0.447,0.048,0.034,an,6.4,0.6,0.6,n,6.68,0.82,0.51,an,https://iopscience.iop.org/article/10.1086/321442,https://iopscience.iop.org/article/10.1088/0004-637X/784/1/2,
